,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.15, 32, 0.2, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.2,0.003,1e-07,0.5479632019996643,0.7218502759933472
"(2, 32, 0.15, 32, 0.15, 32, 0.2, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.2,0.003,3e-07,0.4822601974010468,0.6871576309204102
"(2, 32, 0.15, 32, 0.15, 32, 0.2, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.2,0.003,1e-06,0.4770039319992066,0.7072428464889526
"(2, 32, 0.15, 32, 0.15, 32, 0.2, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.2,0.003,3e-06,0.5243101119995117,0.6993305087089539
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0001,1e-07,0.5229960680007935,0.5776019692420961
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0001,3e-07,0.5045992136001587,0.5830797553062439
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0001,1e-06,0.4914585947990418,0.5654290914535522
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0001,3e-06,0.5505913496017456,0.5830797553062439
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0003,1e-07,0.4875164330005646,0.6409007906913757
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0003,3e-07,0.5151116847991943,0.6226415038108826
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0003,1e-06,0.4204993546009064,0.6129032373428345
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.0003,3e-06,0.4954007863998413,0.63420569896698
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.001,1e-07,0.5085414052009583,0.7224588990211487
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.001,3e-07,0.4664914608001709,0.6950699687004089
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.001,1e-06,0.5124835968017578,0.6999391317367554
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.001,3e-06,0.4940867424011231,0.7096773982048035
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.003,1e-07,0.5361366868019104,0.7151551842689514
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.003,3e-07,0.5703022480010986,0.7011564373970032
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.003,1e-06,0.4993429780006409,0.6993305087089539
"(2, 32, 0.15, 32, 0.15, 32, 0.25, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.25,0.003,3e-06,0.5295663475990295,0.7212416529655457
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0001,1e-07,0.5190538763999939,0.5270845890045166
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0001,3e-07,0.4559789896011353,0.5356056094169617
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0001,1e-06,0.5111694931983948,0.5648204684257507
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0001,3e-06,0.5335085391998291,0.5423006415367126
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0003,1e-07,0.4599211513996124,0.6323797702789307
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0003,3e-07,0.5229960680007935,0.6159464120864868
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0003,1e-06,0.4980289041996002,0.5909920930862427
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.0003,3e-06,0.4809461236000061,0.6810712218284607
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.001,1e-07,0.4848883152008057,0.7139379382133484
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.001,3e-07,0.5019710659980774,0.6962872743606567
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.001,1e-06,0.4770039319992066,0.6956786513328552
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.001,3e-06,0.4770039319992066,0.7066342234611511
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.003,1e-07,0.5216820240020752,0.6591600775718689
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.003,3e-07,0.5216820240020752,0.6853317022323608
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.003,1e-06,0.4664914608001709,0.6932440400123596
"(2, 32, 0.15, 32, 0.15, 32, 0.3, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.3,0.003,3e-06,0.5229960680007935,0.6999391317367554
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0001,1e-07,0.4743758141994476,0.6049908995628357
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0001,3e-07,0.5269382596015929,0.5934266448020935
