,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.003,1e-07,0.50722736120224,0.7455873489379883
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.003,3e-07,0.4783180058002472,0.7413268685340881
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.003,1e-06,0.4901445508003235,0.7364577054977417
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.003,3e-06,0.5295663475990295,0.7145465612411499
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0001,1e-07,0.4822601974010468,0.6141204833984375
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0001,3e-07,0.483574241399765,0.6025562882423401
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0001,1e-06,0.4862023591995239,0.5824710726737976
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0001,3e-06,0.4717476963996887,0.5751673579216003
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0003,1e-07,0.4770039319992066,0.6719415783882141
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0003,3e-07,0.4165571630001068,0.6804625391960144
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0003,1e-06,0.5177398324012756,0.6810712218284607
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.0003,3e-06,0.4822601974010468,0.6609860062599182
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.001,1e-07,0.5348225831985474,0.7346317768096924
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.001,3e-07,0.4651773869991303,0.7273280620574951
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.001,1e-06,0.5137976408004761,0.7340231537818909
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.001,3e-06,0.4494086802005768,0.7468046545982361
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.003,1e-07,0.4993429780006409,0.7388922572135925
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.003,3e-07,0.4901445508003235,0.7480219006538391
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.003,1e-06,0.4809461236000061,0.7291539907455444
"(2, 32, 0.15, 32, 0.15, 128, 0.2, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.2,0.003,3e-06,0.5032851696014404,0.7510651350021362
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0001,1e-07,0.4428383708000183,0.6086426973342896
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0001,3e-07,0.4783180058002472,0.5666463971138
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0001,1e-06,0.4927726686000824,0.6031649708747864
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0001,3e-06,0.496714860200882,0.5824710726737976
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0003,1e-07,0.5492772459983826,0.6658551692962646
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0003,3e-07,0.5059132575988771,0.6536822915077211
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0003,1e-06,0.4520367980003357,0.6853317022323608
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.0003,3e-06,0.4730617702007294,0.667681097984314
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.001,1e-07,0.4756898880004883,0.7328058481216431
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.001,3e-07,0.5427069664001465,0.6993305087089539
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.001,1e-06,0.5269382596015929,0.6999391317367554
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.001,3e-06,0.5085414052009583,0.7096773982048035
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.003,1e-07,0.4770039319992066,0.6968958973884583
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.003,3e-07,0.578186571598053,0.7066342234611511
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.003,1e-06,0.5137976408004761,0.7571515440940857
"(2, 32, 0.15, 32, 0.15, 128, 0.25, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.25,0.003,3e-06,0.5335085391998291,0.7346317768096924
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0001,1e-07,0.5716162919998169,0.5903834700584412
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0001,3e-07,0.4980289041996002,0.5964698791503906
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0001,1e-06,0.5098554491996765,0.5885575413703918
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0001,3e-06,0.4546649158000946,0.5794278979301453
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0003,1e-07,0.5387647747993469,0.6445526480674744
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0003,3e-07,0.483574241399765,0.6786366105079651
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0003,1e-06,0.5098554491996765,0.6524649858474731
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.0003,3e-06,0.5019710659980774,0.6737675070762634
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.001,1e-07,0.5229960680007935,0.717589795589447
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.001,3e-07,0.5611038208007812,0.7090687751770021
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.001,1e-06,0.5216820240020752,0.7181984186172485
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.001,3e-06,0.4862023591995239,0.7054169178009033
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.003,1e-07,0.4862023591995239,0.7626293301582336
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.003,3e-07,0.5348225831985474,0.724284827709198
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.003,1e-06,0.4901445508003235,0.7498478293418884
"(2, 32, 0.15, 32, 0.15, 128, 0.3, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.3,0.003,3e-06,0.5203679203987122,0.7212416529655457
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0001,1e-07,0.5137976408004761,0.587340235710144
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0001,3e-07,0.5111694931983948,0.6165550947189331
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0001,1e-06,0.5111694931983948,0.6269019842147827
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0001,3e-06,0.4822601974010468,0.6402921676635742
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0003,1e-07,0.4954007863998413,0.6877662539482117
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0003,3e-07,0.5151116847991943,0.6926354169845581
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0003,1e-06,0.5479632019996643,0.7090687751770021
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.0003,3e-06,0.4822601974010468,0.698113203048706
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.001,1e-07,0.5361366868019104,0.7571515440940857
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.001,3e-07,0.4940867424011231,0.7608034014701843
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.001,1e-06,0.5203679203987122,0.7571515440940857
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.001,3e-06,0.5137976408004761,0.7364577054977417
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.003,1e-07,0.5137976408004761,0.7437614202499391
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.003,3e-07,0.496714860200882,0.7492392063140869
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.003,1e-06,0.4572930335998535,0.7425441145896912
"(2, 32, 0.15, 32, 0.15, 256, 0.15, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.15,0.003,3e-06,0.5558475852012634,0.7419354915618896
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0001,1e-07,0.4993429780006409,0.6214241981506348
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0001,3e-07,0.5177398324012756,0.6086426973342896
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0001,1e-06,0.4691195785999298,0.6323797702789307
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0001,3e-06,0.463863343000412,0.6025562882423401
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0003,1e-07,0.5335085391998291,0.6810712218284607
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0003,3e-07,0.5137976408004761,0.6920267939567566
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0003,1e-06,0.5308803915977478,0.6719415783882141
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.0003,3e-06,0.5479632019996643,0.7017650604248047
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.001,1e-07,0.5400788187980652,0.717589795589447
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.001,3e-07,0.5216820240020752,0.7577601671218872
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.001,1e-06,0.463863343000412,0.7674984931945801
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.001,3e-06,0.5045992136001587,0.7461959719657898
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.003,1e-07,0.4612352252006531,0.7474132776260376
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.003,3e-07,0.5164257287979126,0.7553256154060364
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.003,1e-06,0.4875164330005646,0.7601947784423828
"(2, 32, 0.15, 32, 0.15, 256, 0.2, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.2,0.003,3e-06,0.5085414052009583,0.7127206325531006
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0001,1e-07,0.5492772459983826,0.6183810234069824
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0001,3e-07,0.4927726686000824,0.5830797553062439
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0001,1e-06,0.450722724199295,0.5909920930862427
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0001,3e-06,0.5229960680007935,0.6202069520950317
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0003,1e-07,0.5611038208007812,0.6755934357643127
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0003,3e-07,0.52562415599823,0.7011564373970032
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0003,1e-06,0.559789776802063,0.6920267939567566
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.0003,3e-06,0.6018396615982056,0.6865490078926086
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.001,1e-07,0.4336399435997009,0.7528910636901855
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.001,3e-07,0.5361366868019104,0.7461959719657898
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.001,1e-06,0.5019710659980774,0.7449787259101868
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.001,3e-06,0.5361366868019104,0.7504564523696899
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.003,1e-07,0.5164257287979126,0.7443700432777405
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.003,3e-07,0.5151116847991943,0.7559342384338379
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.003,1e-06,0.4954007863998413,0.7382836341857909
"(2, 32, 0.15, 32, 0.15, 256, 0.25, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.25,0.003,3e-06,0.4993429780006409,0.7492392063140869
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0001,1e-07,0.4783180058002472,0.6183810234069824
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0001,3e-07,0.5335085391998291,0.5946439504623413
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0001,1e-06,0.411300927400589,0.5763846635818481
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0001,3e-06,0.4520367980003357,0.5964698791503906
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0003,1e-07,0.496714860200882,0.6835057735443115
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0003,3e-07,0.5098554491996765,0.6640292406082153
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0003,1e-06,0.5059132575988771,0.6792452931404114
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.0003,3e-06,0.496714860200882,0.6731588840484619
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.001,1e-07,0.4691195785999298,0.7382836341857909
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.001,3e-07,0.5045992136001587,0.7096773982048035
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.001,1e-06,0.5059132575988771,0.7382836341857909
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.001,3e-06,0.559789776802063,0.7492392063140869
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.003,1e-07,0.4586071074008942,0.729762613773346
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.003,3e-07,0.4914585947990418,0.7534996867179871
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.003,1e-06,0.5019710659980774,0.7528910636901855
"(2, 32, 0.15, 32, 0.15, 256, 0.3, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,256.0,0.3,0.003,3e-06,0.4678055047988892,0.7273280620574951
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0001,1e-07,0.5335085391998291,0.5483871102333069
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0001,3e-07,0.431011825799942,0.6098600029945374
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0001,1e-06,0.4993429780006409,0.5538648962974548
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0001,3e-06,0.4862023591995239,0.5629945397377014
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0003,1e-07,0.4546649158000946,0.6001217365264893
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0003,3e-07,0.4862023591995239,0.5989044308662415
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0003,1e-06,0.4809461236000061,0.6129032373428345
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.0003,3e-06,0.4770039319992066,0.6189896464347839
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.001,1e-07,0.4862023591995239,0.6731588840484619
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.001,3e-07,0.5571616291999817,0.6926354169845581
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.001,1e-06,0.5216820240020752,0.7194157242774963
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.001,3e-06,0.5203679203987122,0.6962872743606567
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.003,1e-07,0.5177398324012756,0.7273280620574951
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.003,3e-07,0.5348225831985474,0.6932440400123596
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.003,1e-06,0.50722736120224,0.7163724899291992
"(2, 32, 0.15, 32, 0.25, 32, 0.15, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.15,0.003,3e-06,0.5111694931983948,0.7048082947731018
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0001,1e-07,0.5479632019996643,0.592818021774292
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0001,3e-07,0.5584756731987,0.5642117857933044
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0001,1e-06,0.4664914608001709,0.5471698045730591
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0001,3e-06,0.5085414052009583,0.5483871102333069
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0003,1e-07,0.5059132575988771,0.6488131284713745
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0003,3e-07,0.50722736120224,0.6110773086547852
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0003,1e-06,0.4888304769992829,0.6256847381591797
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.0003,3e-06,0.5032851696014404,0.6451612710952759
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.001,1e-07,0.5321944952011108,0.6956786513328552
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.001,3e-07,0.44678056240081787,0.6865490078926086
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.001,1e-06,0.4664914608001709,0.642726719379425
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.001,3e-06,0.50722736120224,0.6762020587921143
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.003,1e-07,0.4848883152008057,0.6640292406082153
